id,title,slug,content,excerpt,author_id,category_id,status,is_featured,views_count,published_at,created_at
20000000-0000-0000-0000-000000000011,Minimalismo para inquietos,minimalismo-inquietos,"{""blocks"":[]}",Como simplificar sem perder a graça.,,10000000-0000-0000-0000-000000000001,published,false,25,2025-07-25 18:00:00+00,2025-07-25 18:00:00+00
20000000-0000-0000-0000-000000000012,Ironia e café forte,ironia-cafe-forte,"{""blocks"":[]}",Crônicas urbanas para mentes aceleradas.,,10000000-0000-0000-0000-000000000009,published,false,31,2025-07-25 18:01:00+00,2025-07-25 18:01:00+00
20000000-0000-0000-0000-000000000013,Quando o algoritmo te julga,algoritmo-te-julga,"{""blocks"":[]}",Redes sociais e o tribunal do feed.,,10000000-0000-0000-0000-000000000010,published,false,28,2025-07-25 18:02:00+00,2025-07-25 18:02:00+00
20000000-0000-0000-0000-000000000014,Corpo, mente e memes,corpo-mente-memes,"{""blocks"":[]}",Saúde mental com humor ácido.,,10000000-0000-0000-0000-000000000006,published,false,22,2025-07-25 18:03:00+00
20000000-0000-0000-0000-000000000015,Investir sem drama,investir-sem-drama,"{""blocks"":[]}",Finanças para quem odeia planilhas.,,10000000-0000-0000-0000-000000000007,published,false,34,2025-07-25 18:04:00+00,2025-07-25 18:04:00+00
20000000-0000-0000-0000-000000000016,Amizades líquidas,amizades-liquidas,"{""blocks"":[]}",Relações modernas e descartáveis.,,10000000-0000-0000-0000-000000000009,published,false,30,2025-07-25 18:05:00+00,2025-07-25 18:05:00+00
20000000-0000-0000-0000-000000000017,Pop, nerd e além,pop-nerd-alem,"{""blocks"":[]}",A cultura pop como resistência.,,10000000-0000-0000-0000-000000000004,published,false,38,2025-07-25 18:06:00+00
20000000-0000-0000-0000-000000000018,Velhice sem filtro,velhice-sem-filtro,"{""blocks"":[]}",Envelhecer com sarcasmo e coragem.,,10000000-0000-0000-0000-000000000003,published,false,26,2025-07-25 18:07:00+00,2025-07-25 18:07:00+00
20000000-0000-0000-0000-000000000019,Esporte é política,esporte-e-politica,"{""blocks"":[]}",O lado B dos campeonatos.,,10000000-0000-0000-0000-000000000010,published,false,32,2025-07-25 18:08:00+00,2025-07-25 18:08:00+00
20000000-0000-0000-0000-000000000020,Autoajuda para céticos,autoajuda-ceticos,"{""blocks"":[]}",Motivação sem clichês.,,10000000-0000-0000-0000-000000000005,published,false,35,2025-07-25 18:09:00+00,2025-07-25 18:09:00+00
